ID,Titulo,Autor,Precio,ID de Editorial
3,Wikivu,Andres Wistance,360.05,4
11,Topicblab,Rani Birkenshaw,706.27,4
26,Rhycero,Brendon Windle,915.63,4
28,Rhynoodle,Artus Beven,430.25,4
30,Mynte,Emmaline Wadwell,930.97,4
37,Linktype,Cullin Thorneley,949.75,4
43,Feedfish,Eada Leathers,579.16,4
54,Vipe,Fitz Kellie,660.42,4
57,Feedspan,Durant Frizell,948.32,4
68,Devbug,Fonzie Pollack,414.30,4
69,Yakidoo,Bertine Troppmann,33.50,4
75,Photofeed,Hedi Weymont,962.09,4
82,Skyble,Adriane Mickleborough,882.79,4
92,Yacero,Janeva Bullan,357.98,4
94,Bubbletube,Brendis Koch,667.38,4
101,Chatterbridge,Ingaberg Barbary,369.73,4
109,Gabcube,Fields Denisard,166.28,4
